x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-2.500000E+00,+7.281250E+00,+406.250E-03,-4.718750E+00,+656.250E-03
-2.495000E+00,+7.281250E+00,+406.250E-03,-4.562500E+00,+812.500E-03
-2.490000E+00,+7.437500E+00,+250.000E-03,-4.562500E+00,+812.500E-03
-2.485000E+00,+7.281250E+00,+406.250E-03,-4.562500E+00,+812.500E-03
-2.480000E+00,+7.437500E+00,+562.500E-03,-4.562500E+00,+812.500E-03
-2.475000E+00,+7.281250E+00,+406.250E-03,-4.406250E+00,+812.500E-03
-2.470000E+00,+7.437500E+00,+406.250E-03,-4.406250E+00,+656.250E-03
-2.465000E+00,+7.437500E+00,+406.250E-03,-4.406250E+00,+968.750E-03
-2.460000E+00,+7.281250E+00,+406.250E-03,-4.406250E+00,+968.750E-03
-2.455000E+00,+7.281250E+00,+250.000E-03,-4.250000E+00,+812.500E-03
-2.450000E+00,+7.437500E+00,+406.250E-03,-4.406250E+00,+812.500E-03
-2.445000E+00,+7.437500E+00,+562.500E-03,-4.250000E+00,+812.500E-03
-2.440000E+00,+7.437500E+00,+406.250E-03,-4.250000E+00,+812.500E-03
-2.435000E+00,+7.281250E+00,+562.500E-03,-4.250000E+00,+812.500E-03
-2.430000E+00,+7.437500E+00,+562.500E-03,-3.937500E+00,+812.500E-03
-2.425000E+00,+7.281250E+00,+406.250E-03,-4.093750E+00,+656.250E-03
-2.420000E+00,+7.437500E+00,+406.250E-03,-4.093750E+00,+812.500E-03
-2.415000E+00,+7.437500E+00,+406.250E-03,-4.093750E+00,+812.500E-03
-2.410000E+00,+7.437500E+00,+562.500E-03,-4.093750E+00,+968.750E-03
-2.405000E+00,+7.281250E+00,+406.250E-03,-3.937500E+00,+812.500E-03
-2.400000E+00,+7.281250E+00,+406.250E-03,-3.937500E+00,+812.500E-03
-2.395000E+00,+7.281250E+00,+406.250E-03,-3.937500E+00,+812.500E-03
-2.390000E+00,+7.281250E+00,+406.250E-03,-3.937500E+00,+656.250E-03
-2.385000E+00,+7.593750E+00,+406.250E-03,-3.781250E+00,+812.500E-03
-2.380000E+00,+7.437500E+00,+406.250E-03,-3.937500E+00,+812.500E-03
-2.375000E+00,+7.281250E+00,+406.250E-03,-3.781250E+00,+812.500E-03
-2.370000E+00,+7.281250E+00,+406.250E-03,-3.781250E+00,+656.250E-03
-2.365000E+00,+7.281250E+00,+562.500E-03,-3.781250E+00,+656.250E-03
-2.360000E+00,+7.281250E+00,+406.250E-03,-3.781250E+00,+812.500E-03
-2.355000E+00,+7.437500E+00,+406.250E-03,-3.625000E+00,+656.250E-03
-2.350000E+00,+7.437500E+00,+406.250E-03,-3.625000E+00,+812.500E-03
-2.345000E+00,+7.437500E+00,+406.250E-03,-3.781250E+00,+812.500E-03
-2.340000E+00,+7.281250E+00,+562.500E-03,-3.625000E+00,+812.500E-03
-2.335000E+00,+7.437500E+00,+406.250E-03,-3.468750E+00,+812.500E-03
-2.330000E+00,+7.281250E+00,+406.250E-03,-3.468750E+00,+812.500E-03
-2.325000E+00,+7.281250E+00,+562.500E-03,-3.625000E+00,+812.500E-03
-2.320000E+00,+7.437500E+00,+562.500E-03,-3.468750E+00,+812.500E-03
-2.315000E+00,+7.437500E+00,+406.250E-03,-3.625000E+00,+812.500E-03
-2.310000E+00,+7.437500E+00,+406.250E-03,-3.468750E+00,+812.500E-03
-2.305000E+00,+7.437500E+00,+406.250E-03,-3.468750E+00,+656.250E-03
-2.300000E+00,+7.281250E+00,+406.250E-03,-3.468750E+00,+812.500E-03
-2.295000E+00,+7.437500E+00,+406.250E-03,-3.312500E+00,+812.500E-03
-2.290000E+00,+7.281250E+00,+562.500E-03,-3.468750E+00,+812.500E-03
-2.285000E+00,+7.281250E+00,+562.500E-03,-3.312500E+00,+812.500E-03
-2.280000E+00,+7.437500E+00,+406.250E-03,-3.312500E+00,+812.500E-03
-2.275000E+00,+7.281250E+00,+562.500E-03,-3.156250E+00,+812.500E-03
-2.270000E+00,+7.437500E+00,+406.250E-03,-3.312500E+00,+656.250E-03
-2.265000E+00,+7.437500E+00,+406.250E-03,-3.156250E+00,+812.500E-03
-2.260000E+00,+7.437500E+00,+406.250E-03,-3.000000E+00,+812.500E-03
-2.255000E+00,+7.437500E+00,+562.500E-03,-3.156250E+00,+812.500E-03
-2.250000E+00,+7.281250E+00,+406.250E-03,-3.156250E+00,+812.500E-03
-2.245000E+00,+7.281250E+00,+562.500E-03,-3.156250E+00,+812.500E-03
-2.240000E+00,+7.281250E+00,+562.500E-03,-3.000000E+00,+812.500E-03
-2.235000E+00,+7.281250E+00,+406.250E-03,-3.000000E+00,+656.250E-03
-2.230000E+00,+7.437500E+00,+406.250E-03,-3.000000E+00,+656.250E-03
-2.225000E+00,+7.281250E+00,+406.250E-03,-3.000000E+00,+812.500E-03
-2.220000E+00,+7.281250E+00,+562.500E-03,-2.843750E+00,+812.500E-03
-2.215000E+00,+7.281250E+00,+406.250E-03,-3.000000E+00,+812.500E-03
-2.210000E+00,+7.281250E+00,+562.500E-03,-2.843750E+00,+812.500E-03
-2.205000E+00,+7.437500E+00,+406.250E-03,-2.843750E+00,+656.250E-03
-2.200000E+00,+7.437500E+00,+562.500E-03,-2.843750E+00,+968.750E-03
-2.195000E+00,+7.281250E+00,+406.250E-03,-2.843750E+00,+812.500E-03
-2.190000E+00,+7.437500E+00,+406.250E-03,-2.843750E+00,+812.500E-03
-2.185000E+00,+7.281250E+00,+562.500E-03,-2.843750E+00,+812.500E-03
-2.180000E+00,+7.437500E+00,+562.500E-03,-2.687500E+00,+812.500E-03
-2.175000E+00,+7.281250E+00,+406.250E-03,-2.843750E+00,+656.250E-03
-2.170000E+00,+7.281250E+00,+406.250E-03,-2.531250E+00,+812.500E-03
-2.165000E+00,+7.437500E+00,+406.250E-03,-2.687500E+00,+656.250E-03
-2.160000E+00,+7.437500E+00,+406.250E-03,-2.687500E+00,+812.500E-03
-2.155000E+00,+7.281250E+00,+562.500E-03,-2.531250E+00,+812.500E-03
-2.150000E+00,+7.437500E+00,+406.250E-03,-2.531250E+00,+656.250E-03
-2.145000E+00,+7.281250E+00,+562.500E-03,-2.531250E+00,+812.500E-03
-2.140000E+00,+7.437500E+00,+406.250E-03,-2.531250E+00,+812.500E-03
-2.135000E+00,+7.437500E+00,+562.500E-03,-2.531250E+00,+656.250E-03
-2.130000E+00,+7.281250E+00,+406.250E-03,-2.375000E+00,+812.500E-03
-2.125000E+00,+7.437500E+00,+406.250E-03,-2.531250E+00,+656.250E-03
-2.120000E+00,+7.437500E+00,+406.250E-03,-2.531250E+00,+812.500E-03
-2.115000E+00,+7.281250E+00,+562.500E-03,-2.375000E+00,+656.250E-03
-2.110000E+00,+7.281250E+00,+406.250E-03,-2.375000E+00,+812.500E-03
-2.105000E+00,+7.437500E+00,+406.250E-03,-2.218750E+00,+656.250E-03
-2.100000E+00,+7.437500E+00,+250.000E-03,-2.218750E+00,+812.500E-03
-2.095000E+00,+7.437500E+00,+562.500E-03,-2.218750E+00,+812.500E-03
-2.090000E+00,+7.281250E+00,+406.250E-03,-2.218750E+00,+656.250E-03
-2.085000E+00,+7.281250E+00,+406.250E-03,-2.375000E+00,+812.500E-03
-2.080000E+00,+7.281250E+00,+562.500E-03,-2.218750E+00,+812.500E-03
-2.075000E+00,+7.437500E+00,+406.250E-03,-2.218750E+00,+812.500E-03
-2.070000E+00,+7.281250E+00,+406.250E-03,-2.218750E+00,+812.500E-03
-2.065000E+00,+7.281250E+00,+406.250E-03,-2.062500E+00,+812.500E-03
-2.060000E+00,+7.281250E+00,+406.250E-03,-2.062500E+00,+812.500E-03
-2.055000E+00,+7.437500E+00,+406.250E-03,-2.218750E+00,+656.250E-03
-2.050000E+00,+7.125000E+00,+562.500E-03,-2.062500E+00,+812.500E-03
-2.045000E+00,+7.437500E+00,+406.250E-03,-2.062500E+00,+812.500E-03
-2.040000E+00,+7.281250E+00,+562.500E-03,-1.906250E+00,+812.500E-03
-2.035000E+00,+7.281250E+00,+406.250E-03,-2.062500E+00,+656.250E-03
-2.030000E+00,+7.437500E+00,+562.500E-03,-2.062500E+00,+656.250E-03
-2.025000E+00,+7.437500E+00,+406.250E-03,-1.906250E+00,+812.500E-03
-2.020000E+00,+7.437500E+00,+406.250E-03,-1.750000E+00,+812.500E-03
-2.015000E+00,+7.437500E+00,+406.250E-03,-1.750000E+00,+656.250E-03
-2.010000E+00,+7.437500E+00,+562.500E-03,-2.062500E+00,+656.250E-03
-2.005000E+00,+7.437500E+00,+562.500E-03,-1.750000E+00,+812.500E-03
-2.000000E+00,+7.281250E+00,+562.500E-03,-1.906250E+00,+812.500E-03
-1.995000E+00,+7.281250E+00,+406.250E-03,-1.750000E+00,+812.500E-03
-1.990000E+00,+7.281250E+00,+562.500E-03,-1.750000E+00,+656.250E-03
-1.985000E+00,+7.437500E+00,+562.500E-03,-1.750000E+00,+812.500E-03
-1.980000E+00,+7.281250E+00,+406.250E-03,-1.750000E+00,+812.500E-03
-1.975000E+00,+7.281250E+00,+406.250E-03,-1.593750E+00,+812.500E-03
-1.970000E+00,+7.281250E+00,+406.250E-03,-1.750000E+00,+812.500E-03
-1.965000E+00,+7.437500E+00,+406.250E-03,-1.750000E+00,+812.500E-03
-1.960000E+00,+7.281250E+00,+406.250E-03,-1.593750E+00,+812.500E-03
-1.955000E+00,+7.281250E+00,+406.250E-03,-1.593750E+00,+812.500E-03
-1.950000E+00,+7.125000E+00,+406.250E-03,-1.750000E+00,+812.500E-03
-1.945000E+00,+7.437500E+00,+406.250E-03,-1.593750E+00,+812.500E-03
-1.940000E+00,+7.437500E+00,+562.500E-03,-1.593750E+00,+812.500E-03
-1.935000E+00,+7.281250E+00,+562.500E-03,-1.437500E+00,+812.500E-03
-1.930000E+00,+7.437500E+00,+406.250E-03,-1.437500E+00,+656.250E-03
-1.925000E+00,+7.437500E+00,+562.500E-03,-1.437500E+00,+812.500E-03
-1.920000E+00,+7.437500E+00,+562.500E-03,-1.437500E+00,+812.500E-03
-1.915000E+00,+7.281250E+00,+406.250E-03,-1.437500E+00,+812.500E-03
-1.910000E+00,+7.281250E+00,+406.250E-03,-1.437500E+00,+968.750E-03
-1.905000E+00,+7.281250E+00,+406.250E-03,-1.281250E+00,+812.500E-03
-1.900000E+00,+7.437500E+00,+406.250E-03,-1.437500E+00,+656.250E-03
-1.895000E+00,+7.281250E+00,+406.250E-03,-1.437500E+00,+812.500E-03
-1.890000E+00,+7.281250E+00,+406.250E-03,-1.281250E+00,+656.250E-03
-1.885000E+00,+7.281250E+00,+406.250E-03,-1.281250E+00,+812.500E-03
-1.880000E+00,+7.281250E+00,+406.250E-03,-1.281250E+00,+656.250E-03
-1.875000E+00,+7.281250E+00,+562.500E-03,-1.281250E+00,+812.500E-03
-1.870000E+00,+7.437500E+00,+406.250E-03,-1.281250E+00,+656.250E-03
-1.865000E+00,+7.437500E+00,+562.500E-03,-1.281250E+00,+812.500E-03
-1.860000E+00,+7.281250E+00,+406.250E-03,-1.125000E+00,+812.500E-03
-1.855000E+00,+7.281250E+00,+562.500E-03,-1.125000E+00,+812.500E-03
-1.850000E+00,+7.437500E+00,+406.250E-03,-1.281250E+00,+656.250E-03
-1.845000E+00,+7.437500E+00,+406.250E-03,-1.125000E+00,+656.250E-03
-1.840000E+00,+7.437500E+00,+406.250E-03,-1.125000E+00,+656.250E-03
-1.835000E+00,+7.281250E+00,+406.250E-03,-1.125000E+00,+812.500E-03
-1.830000E+00,+7.437500E+00,+406.250E-03,-1.125000E+00,+656.250E-03
-1.825000E+00,+7.437500E+00,+406.250E-03,-1.125000E+00,+656.250E-03
-1.820000E+00,+7.437500E+00,+406.250E-03,-968.750E-03,+656.250E-03
-1.815000E+00,+7.281250E+00,+406.250E-03,-1.125000E+00,+812.500E-03
-1.810000E+00,+7.281250E+00,+562.500E-03,-1.125000E+00,+812.500E-03
-1.805000E+00,+7.437500E+00,+562.500E-03,-968.750E-03,+812.500E-03
-1.800000E+00,+7.437500E+00,+406.250E-03,-968.750E-03,+812.500E-03
-1.795000E+00,+7.281250E+00,+406.250E-03,-968.750E-03,+656.250E-03
-1.790000E+00,+7.437500E+00,+562.500E-03,-968.750E-03,+812.500E-03
-1.785000E+00,+7.437500E+00,+562.500E-03,-812.500E-03,+968.750E-03
-1.780000E+00,+7.281250E+00,+562.500E-03,-812.500E-03,+812.500E-03
-1.775000E+00,+7.437500E+00,+406.250E-03,-812.500E-03,+812.500E-03
-1.770000E+00,+7.281250E+00,+406.250E-03,-968.750E-03,+656.250E-03
-1.765000E+00,+7.281250E+00,+562.500E-03,-812.500E-03,+812.500E-03
-1.760000E+00,+7.281250E+00,+406.250E-03,-656.250E-03,+656.250E-03
-1.755000E+00,+7.281250E+00,+406.250E-03,-656.250E-03,+812.500E-03
-1.750000E+00,+7.437500E+00,+406.250E-03,-812.500E-03,+812.500E-03
-1.745000E+00,+7.281250E+00,+562.500E-03,-812.500E-03,+812.500E-03
-1.740000E+00,+7.281250E+00,+562.500E-03,-812.500E-03,+656.250E-03
-1.735000E+00,+7.437500E+00,+562.500E-03,-656.250E-03,+812.500E-03
-1.730000E+00,+7.437500E+00,+406.250E-03,-656.250E-03,+812.500E-03
-1.725000E+00,+7.281250E+00,+406.250E-03,-656.250E-03,+812.500E-03
-1.720000E+00,+7.437500E+00,+406.250E-03,-656.250E-03,+656.250E-03
-1.715000E+00,+7.437500E+00,+406.250E-03,-656.250E-03,+812.500E-03
-1.710000E+00,+7.281250E+00,+406.250E-03,-656.250E-03,+656.250E-03
-1.705000E+00,+7.437500E+00,+406.250E-03,-500.000E-03,+812.500E-03
-1.700000E+00,+7.437500E+00,+406.250E-03,-500.000E-03,+812.500E-03
-1.695000E+00,+7.437500E+00,+406.250E-03,-500.000E-03,+812.500E-03
-1.690000E+00,+7.437500E+00,+562.500E-03,-500.000E-03,+812.500E-03
-1.685000E+00,+7.281250E+00,+406.250E-03,-500.000E-03,+812.500E-03
-1.680000E+00,+7.281250E+00,+406.250E-03,-500.000E-03,+812.500E-03
-1.675000E+00,+7.437500E+00,+406.250E-03,-343.750E-03,+968.750E-03
-1.670000E+00,+7.437500E+00,+562.500E-03,-343.750E-03,+812.500E-03
-1.665000E+00,+7.281250E+00,+562.500E-03,-343.750E-03,+812.500E-03
-1.660000E+00,+7.281250E+00,+406.250E-03,-500.000E-03,+812.500E-03
-1.655000E+00,+7.437500E+00,+406.250E-03,-343.750E-03,+812.500E-03
-1.650000E+00,+7.281250E+00,+406.250E-03,-500.000E-03,+656.250E-03
-1.645000E+00,+7.281250E+00,+406.250E-03,-343.750E-03,+812.500E-03
-1.640000E+00,+7.281250E+00,+406.250E-03,-343.750E-03,+500.000E-03
-1.635000E+00,+7.437500E+00,+406.250E-03,-187.500E-03,+656.250E-03
-1.630000E+00,+7.281250E+00,+406.250E-03,-343.750E-03,+812.500E-03
-1.625000E+00,+7.281250E+00,+406.250E-03,-187.500E-03,+812.500E-03
-1.620000E+00,+7.281250E+00,+406.250E-03,-343.750E-03,+812.500E-03
-1.615000E+00,+7.437500E+00,+562.500E-03,-187.500E-03,+968.750E-03
-1.610000E+00,+7.281250E+00,+562.500E-03,-31.250E-03,+812.500E-03
-1.605000E+00,+7.437500E+00,+562.500E-03,-187.500E-03,+968.750E-03
-1.600000E+00,+7.281250E+00,+406.250E-03,-187.500E-03,+656.250E-03
-1.595000E+00,+7.437500E+00,+406.250E-03,-31.250E-03,+812.500E-03
-1.590000E+00,+7.437500E+00,+562.500E-03,-31.250E-03,+812.500E-03
-1.585000E+00,+7.281250E+00,+406.250E-03,+125.000E-03,+500.000E-03
-1.580000E+00,+7.437500E+00,+406.250E-03,-31.250E-03,+812.500E-03
-1.575000E+00,+7.281250E+00,+562.500E-03,-31.250E-03,+812.500E-03
-1.570000E+00,+7.437500E+00,+562.500E-03,-31.250E-03,+656.250E-03
-1.565000E+00,+7.281250E+00,+406.250E-03,-31.250E-03,+812.500E-03
-1.560000E+00,+7.281250E+00,+562.500E-03,+125.000E-03,+812.500E-03
-1.555000E+00,+7.281250E+00,+406.250E-03,-31.250E-03,+812.500E-03
-1.550000E+00,+7.281250E+00,+406.250E-03,+125.000E-03,+812.500E-03
-1.545000E+00,+7.281250E+00,+250.000E-03,+125.000E-03,+812.500E-03
-1.540000E+00,+7.281250E+00,+406.250E-03,-31.250E-03,+656.250E-03
-1.535000E+00,+7.437500E+00,+406.250E-03,+125.000E-03,+656.250E-03
-1.530000E+00,+7.281250E+00,+562.500E-03,+125.000E-03,+812.500E-03
-1.525000E+00,+7.281250E+00,+406.250E-03,+125.000E-03,+812.500E-03
-1.520000E+00,+7.281250E+00,+406.250E-03,+125.000E-03,+812.500E-03
-1.515000E+00,+7.281250E+00,+562.500E-03,+125.000E-03,+656.250E-03
-1.510000E+00,+7.281250E+00,+562.500E-03,+281.250E-03,+656.250E-03
-1.505000E+00,+7.281250E+00,+562.500E-03,+281.250E-03,+656.250E-03
-1.500000E+00,+7.281250E+00,+250.000E-03,+281.250E-03,+968.750E-03
-1.495000E+00,+7.281250E+00,+406.250E-03,+281.250E-03,+812.500E-03
-1.490000E+00,+7.437500E+00,+562.500E-03,+281.250E-03,+656.250E-03
-1.485000E+00,+7.437500E+00,+406.250E-03,+281.250E-03,+812.500E-03
-1.480000E+00,+7.437500E+00,+562.500E-03,+437.500E-03,+656.250E-03
-1.475000E+00,+7.437500E+00,+562.500E-03,+437.500E-03,+656.250E-03
-1.470000E+00,+7.437500E+00,+406.250E-03,+437.500E-03,+812.500E-03
-1.465000E+00,+7.281250E+00,+562.500E-03,+281.250E-03,+812.500E-03
-1.460000E+00,+7.281250E+00,+406.250E-03,+437.500E-03,+812.500E-03
-1.455000E+00,+7.281250E+00,+406.250E-03,+437.500E-03,+812.500E-03
-1.450000E+00,+7.437500E+00,+406.250E-03,+437.500E-03,+812.500E-03
-1.445000E+00,+7.437500E+00,+406.250E-03,+437.500E-03,+656.250E-03
-1.440000E+00,+7.437500E+00,+562.500E-03,+437.500E-03,+812.500E-03
-1.435000E+00,+7.281250E+00,+562.500E-03,+593.750E-03,+812.500E-03
-1.430000E+00,+93.750E-03,+4.625000E+00,+906.250E-03,-6.531250E+00
-1.425000E+00,-62.500E-03,+6.187500E+00,+750.000E-03,-6.531250E+00
-1.420000E+00,-62.500E-03,+6.812500E+00,+750.000E-03,-6.531250E+00
-1.415000E+00,+93.750E-03,+6.812500E+00,+750.000E-03,-6.375000E+00
-1.410000E+00,+93.750E-03,+7.125000E+00,+750.000E-03,-6.218750E+00
-1.405000E+00,+250.000E-03,+6.968750E+00,+906.250E-03,-6.218750E+00
-1.400000E+00,+93.750E-03,+6.968750E+00,+750.000E-03,-6.062500E+00
-1.395000E+00,+250.000E-03,+7.125000E+00,+906.250E-03,-6.218750E+00
-1.390000E+00,+250.000E-03,+7.125000E+00,+593.750E-03,-6.062500E+00
-1.385000E+00,+406.250E-03,+7.125000E+00,+906.250E-03,-5.906250E+00
-1.380000E+00,+406.250E-03,+7.125000E+00,+906.250E-03,-5.906250E+00
-1.375000E+00,+406.250E-03,+6.968750E+00,+750.000E-03,-5.750000E+00
-1.370000E+00,+406.250E-03,+7.281250E+00,+906.250E-03,-5.593750E+00
-1.365000E+00,+406.250E-03,+7.125000E+00,+750.000E-03,-5.750000E+00
-1.360000E+00,+562.500E-03,+7.125000E+00,+906.250E-03,-5.593750E+00
-1.355000E+00,+406.250E-03,+7.125000E+00,+750.000E-03,-5.593750E+00
-1.350000E+00,+562.500E-03,+7.281250E+00,+750.000E-03,-5.437500E+00
-1.345000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-5.593750E+00
-1.340000E+00,+562.500E-03,+7.125000E+00,+906.250E-03,-5.437500E+00
-1.335000E+00,+562.500E-03,+7.281250E+00,+593.750E-03,-5.281250E+00
-1.330000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-5.281250E+00
-1.325000E+00,+406.250E-03,+7.125000E+00,+750.000E-03,-5.281250E+00
-1.320000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-5.281250E+00
-1.315000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-5.125000E+00
-1.310000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-5.125000E+00
-1.305000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-5.125000E+00
-1.300000E+00,+406.250E-03,+7.125000E+00,+906.250E-03,-4.968750E+00
-1.295000E+00,+562.500E-03,+7.281250E+00,+750.000E-03,-5.125000E+00
-1.290000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-4.968750E+00
-1.285000E+00,+562.500E-03,+7.281250E+00,+750.000E-03,-4.968750E+00
-1.280000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-4.968750E+00
-1.275000E+00,+562.500E-03,+7.281250E+00,+750.000E-03,-4.812500E+00
-1.270000E+00,+562.500E-03,+7.281250E+00,+750.000E-03,-4.812500E+00
